C.D.S.  -  SIMBAD4 rel 1.5  -  2016.05.31CEST18:39:28

 IdentList
----------

 # 	typed ident	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	       pm       	  plx  	 radvel  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   
---	-----------	-------------------------	---	---------------------------	----------------	-------	---------	------	------	------	------	------	---------------
1  	HD116029   	HD 116029                	*  	200.16476095 +24.64869668  	  -13.30 -52.49 	   8.12	-6.99    	     ~	 8.89 	 7.89 	     ~	     ~	K1IV           
2  	HD219828   	HD 219828                	*  	349.69472685 +18.64572281  	     -4.15 4.14 	  13.83	-24.13   	     ~	 8.68 	 8.01 	     ~	     ~	G0IV           
3  	HD1237     	HD 1237                  	PM*	004.05282489 -79.85117852  	  433.92 -56.74 	  57.15	-2.10    	 7.692	 7.335	 6.578	 6.6  	     ~	G8V            
4  	HD4308     	HD 4308                  	PM*	011.16361281 -65.64952213  	 157.49 -742.32 	  45.34	95.25    	 7.31 	 7.193	 6.552	     ~	     ~	G6VFe-0.9      
5  	HD24040    	HD 24040                 	PM*	057.59569971 +17.47636664  	 113.79 -252.18 	  21.46	-9.31    	     ~	 8.18 	 7.52 	 7.1  	 6.8  	G0             
6  	HD200964   	HD 200964                	PM*	316.66600997 +03.80311890  	    94.99 50.47 	  13.85	-71.69   	     ~	 7.379	 6.487	     ~	     ~	G8IV           
7  	HD147018   	HD 147018                	PM*	245.75060965 -61.68876169  	-178.49 -315.28 	  23.28	-27.50   	     ~	 9.07 	 8.30 	     ~	     ~	G8/K0V         
8  	HD218566   	HD 218566                	PM*	347.29469878 -02.26074375  	  632.56 -97.02 	  35.02	-37.70   	     ~	 9.641	 8.628	     ~	 8.73 	K3V            
9  	HD45364    	HD 45364                 	*  	096.41031254 -31.48095661  	   53.22 -13.20 	  30.59	16.46    	     ~	 8.82 	 8.06 	     ~	     ~	G8V            
10 	HD141937   	HD 141937                	*  	238.07311310 -18.43606757  	    96.83 22.97 	  30.96	-2.57    	     ~	 7.87 	 7.25 	     ~	     ~	G1V            
11 	HD156668   	HD 156668                	PM*	259.41871055 +29.22722898  	  -71.16 217.36 	  40.86	-44.55   	     ~	 9.43 	 8.42 	 7.8  	 7.3  	K3V            
12 	HD132406   	HD 132406                	PM*	224.22771540 +53.38216993  	 -13.78 -279.96 	  14.73	-37.77   	 9.300	 9.100	 8.450	 8.1  	 7.8  	G0             
13 	HD38529    	HD 38529                 	PM*	086.64546906 +01.16819325  	 -79.12 -141.84 	  25.46	30.21    	     ~	 6.684	 5.938	 5.4  	 5.1  	G8III/IV       
14 	HD126614   	HD 126614                	** 	216.70116957 -05.17777982  	-152.04 -147.93 	  13.77	-32.87   	     ~	 9.662	 8.787	     ~	     ~	G8IV           
15 	HD177830   	HD 177830                	** 	286.33655587 +25.92066102  	  -40.84 -51.75 	  16.94	-71.86   	     ~	 8.266	 7.177	     ~	     ~	K0+M4V         
16 	HD38283    	HD 38283                 	*  	084.25841031 -73.69934221  	 139.67 -107.04 	  26.10	62.50    	     ~	 7.26 	 6.696	     ~	 8.35 	F9.5V          
17 	HD217786   	HD 217786                	PM*	345.784188 -00.429628      	 -88.78 -170.13 	  18.23	10.00    	     ~	 8.360	 7.779	 7.60 	     ~	F8V            
18 	HD32518    	HR 1636                  	*  	077.40299601 +69.63940307  	   60.26 -62.81 	   8.29	-7.02    	 8.550	 7.530	 6.420	     ~	     ~	K1III          
19 	HD73267    	HD 73267                 	PM*	129.07406320 -34.45997830  	 -107.82 123.08 	  18.45	51.91    	     ~	 9.66 	 8.87 	     ~	     ~	K0V            
20 	HD147513   	HD 147513                	pr*	246.00537196 -39.19297559  	     71.89 5.26 	  78.26	14.80    	 6.17 	 6.02 	 5.376	 5.4  	     ~	G5V            
21 	HD72659    	HD 72659                 	*  	128.51329292 -01.56821614  	 -112.36 -97.72 	  20.07	-18.15   	     ~	 8.08 	 7.47 	     ~	     ~	G2V            
22 	HD197037   	HD 197037                	PM*	309.88733391 +42.24855126  	 -62.47 -220.96 	  30.93	8.40     	     ~	 7.31 	 6.813	 6.61 	 6.3  	G0             
23 	HD70642    	HD 70642                 	PM*	125.36723549 -39.70541050  	 -201.65 225.18 	  35.63	53.00    	     ~	 7.89 	 7.18 	     ~	     ~	G6VCN+0.5      
24 	HD40307    	HD 40307                 	*  	088.51766631 -60.02347159  	  -52.65 -60.46 	  76.95	31.33    	 8.814	 8.097	 7.147	 6.597	 6.119	K2.5V          
25 	HD142      	HD 142                   	** 	001.57989767 -49.07518936  	  575.29 -39.19 	  38.89	6.00     	     ~	 6.22 	 5.70 	     ~	     ~	F7V            
26 	HD102329   	HD 102329                	*  	176.69435490 +03.47429342  	  -45.38 -18.46 	   6.33	14.32    	     ~	 8.93 	 7.89 	     ~	     ~	K0III          
27 	HD159868   	HD 159868                	PM*	264.74802639 -43.14550926  	-231.62 -167.00 	  17.04	-23.45   	     ~	 7.96 	 7.24 	     ~	     ~	G5V            
28 	HD114783   	HD 114783                	*  	198.18243983 -02.26503709  	  -138.66 10.57 	  48.78	-11.91   	 9.137	 8.469	 7.550	 7.053	 6.627	K1V            
29 	HD168443   	HD 168443                	PM*	275.01637711 -09.59571931  	 -93.84 -222.83 	  26.72	-48.69   	     ~	 7.62 	 6.92 	     ~	     ~	G6V            
30 	HD81040    	HD 81040                 	PM*	140.94619373 +20.36445456  	  -152.39 36.12 	  30.20	49.2     	 8.510	 8.370	 7.730	 7.3  	 7.0  	G0V            
31 	HD208527   	HR 8372                  	*  	329.09993611 +21.23986003  	     2.00 15.30 	   2.48	4.68     	10.090	 8.060	 6.370	     ~	     ~	K5V            
32 	HD95089    	HD 95089                 	PM*	164.69890121 +01.72921549  	  -35.31 -47.27 	   7.19	7.98     	     ~	 8.897	 7.95 	     ~	     ~	G8/K0IV        
33 	HD114729   	HD 114729A               	PM*	198.18440400 -31.87334876  	-202.87 -308.32 	  27.69	64.99    	     ~	 7.31 	 6.69 	     ~	     ~	G0V            
34 	HD100655   	HR 4459                  	*  	173.76563955 +20.44154758  	   -59.23 -0.33 	   8.18	-5.20    	     ~	 7.468	 6.438	 6.37 	     ~	G9III          
35 	HD142415   	HD 142415                	pr*	239.41996384 -60.20025789  	-113.56 -102.54 	  29.21	-11.72   	     ~	 7.94 	 7.34 	 7.3  	     ~	G1V            
36 	HD114386   	HD 114386                	PM*	197.66593185 -35.05478184  	-137.59 -324.70 	  34.61	34.00    	     ~	 9.80 	 8.71 	     ~	     ~	K3V            
37 	HD103197   	HD 103197                	*  	178.22074569 -50.29282435  	    -80.24 6.61 	  18.82	-4.33    	     ~	10.31 	 9.39 	     ~	     ~	K1V(p)         
38 	HD152581   	HD 152581                	*  	253.43159405 +11.97374506  	   11.49 -15.79 	   5.39	3.74     	     ~	 9.251	 8.35 	     ~	     ~	K0             
39 	HD13908    	HD 13908                 	*  	034.56066899 +65.59436078  	   22.36 -37.93 	  14.05	15.90    	     ~	 8.04 	 7.51 	     ~	     ~	F8             
40 	HD125595   	HD 125595                	PM*	215.34660899 -40.39394679  	 -561.46 -67.06 	  35.77	3.10     	     ~	10.13 	 9.03 	     ~	     ~	K4Vk:          
41 	HD93083    	HD 93083                 	PM*	161.08714262 -33.57702152  	 -93.85 -150.99 	  35.90	43.65    	     ~	 9.27 	 8.33 	     ~	     ~	K2IV-V         
42 	HD31253    	HD 31253                 	PM*	073.68188862 +12.35219813  	   89.41 -41.27 	  19.88	12.23    	     ~	 7.712	 7.13 	 7.03 	     ~	F8             
43 	HD89744    	HD 89744                 	PM*	155.54401117 +41.22953076  	-119.41 -138.31 	  25.36	-4.35    	     ~	 6.232	 5.741	 5.4  	 5.2  	F7V            
44 	HD183263   	HD 183263                	*  	292.10238325 +08.35805440  	  -19.08 -32.97 	  18.15	-50.55   	     ~	 8.51 	 7.86 	     ~	     ~	G2IV           
45 	HD192310   	HD 192310                	V* 	303.82246344 -27.03297557  	1241.85 -180.96 	 112.22	-54.2    	     ~	 6.63 	 5.723	 5.98 	 8.74 	K2+V           
46 	HD1690     	HD 1690                  	*  	005.30552969 -08.28115625  	     13.06 3.17 	   3.22	18.49    	11.967	10.515	 9.178	 8.483	 8.87 	K1(III)        
47 	HD28185    	HD 28185                 	*  	066.60967804 -10.55081429  	   84.42 -57.66 	  23.62	49.98    	     ~	 8.52 	 7.81 	     ~	     ~	G6.5IV-V       
48 	HD23127    	HD 23127                 	*  	054.84849645 -60.07784313  	   75.27 143.03 	  10.13	21.90    	     ~	 9.26 	 8.55 	     ~	     ~	G2V            
49 	HD154672   	HD 154672                	*  	257.52046619 -56.44927088  	  31.23 -124.69 	  15.44	-4.3     	     ~	 8.91 	 8.20 	     ~	     ~	G3IV           
50 	HD11506    	HD 11506                 	*  	028.21056043 -19.50697575  	   22.87 -98.85 	  19.34	-7.45    	     ~	 8.11 	 7.51 	     ~	     ~	G0V            
51 	HD34445    	HD 34445                 	*  	079.42075212 +07.35334744  	  -0.46 -147.17 	  21.52	-78.91   	     ~	 7.97 	 7.33 	     ~	     ~	G0             
52 	HD125612   	HD 125612                	*  	215.22298633 -17.48152575  	  -61.12 -67.65 	  18.45	-18.16   	     ~	 8.93 	 8.32 	     ~	     ~	G3V            
53 	HD153950   	HD 153950                	PM*	256.12862454 -43.30977125  	 109.69 -142.15 	  20.19	33.26    	     ~	 7.90 	 7.38 	     ~	     ~	F8V            
54 	HD16141    	* 79 Cet                 	PM*	038.83303396 -03.56060605  	-157.31 -438.79 	  25.67	-50.50   	     ~	 7.49 	 6.78 	     ~	     ~	G2V            
55 	HD204313   	HD 204313                	PM*	322.05086286 -21.72625554  	  42.86 -271.51 	  21.11	-9.70    	     ~	 8.696	 8.02 	 7.76 	     ~	G5V            
56 	HD50554    	HD 50554                 	*  	103.67843808 +24.24556063  	  -37.58 -95.54 	  33.43	-3.79    	     ~	 7.41 	 6.84 	     ~	     ~	F8V            
57 	HD11964    	HD 11964                 	PM*	029.29003181 -10.24242599  	-366.23 -242.39 	  30.44	-9.34    	     ~	 7.25 	 6.42 	     ~	     ~	G9VCN+1        
58 	HD13189    	HD 13189                 	*  	032.41738585 +32.31643470  	      2.62 5.32 	   1.78	25.39    	     ~	 9.04 	 7.56 	     ~	     ~	K1II-III       
59 	HD60532    	HD 60532                 	PM*	113.51325350 -22.29606662  	   -39.87 46.84 	  39.53	61.09    	 5.02 	 4.94 	 4.39 	     ~	     ~	F6IV-V         
60 	HD104067   	HD 104067                	PM*	179.79170864 -20.35378072  	 143.31 -423.67 	  47.47	15.13    	 9.683	 8.897	 7.921	 7.369	 6.913	K2V            
61 	HD20794    	* e Eri                  	PM*	049.98187889 -43.06978264  	 3038.34 726.58 	 165.47	87.40    	 5.20 	 4.98 	 4.27 	 3.65 	 3.25 	G8III          
62 	HD195019   	HD 195019                	** 	307.07764865 +18.76949279  	  348.48 -58.39 	  25.96	-91.50   	 7.730	 7.530	 6.880	 6.5  	 6.2  	G3IV-V         
63 	HD210702   	HD 210702                	*  	332.96387858 +16.04055286  	   -3.15 -18.02 	  18.20	16.96    	     ~	 6.885	 5.939	     ~	     ~	K0III          
64 	HD73526    	HD 73526                 	PM*	129.31868391 -41.31910060  	  -59.95 162.23 	   9.93	26.31    	     ~	 9.69 	 9.00 	     ~	     ~	G6V            
65 	HD108341   	HD 108341                	*  	186.88079161 -71.42297368  	 -122.94 117.02 	  20.23	56.50    	     ~	10.29 	 9.36 	     ~	     ~	K2V            
66 	HD171238   	HD 171238                	*  	278.68197916 -28.07231615  	 -29.46 -111.01 	  19.89	21.56    	     ~	 9.41 	 8.65 	     ~	     ~	G8V            
67 	HD164922   	HD 164922                	PM*	270.62859229 +26.31300250  	 389.41 -602.03 	  45.21	20.29    	     ~	 7.79 	 6.99 	 6.5  	 6.1  	G9V            
68 	HD96063    	HD 96063                 	*  	166.18522764 -02.51321852  	   27.69 -17.60 	   6.33	-1.39    	     ~	 9.09 	 8.254	     ~	     ~	G6V            
69 	HD5608     	HD 5608                  	PM*	014.55924552 +33.95088453  	   34.98 -71.87 	  17.74	-23.24   	     ~	 6.990	 5.999	     ~	     ~	K0III          
70 	HD80606    	HD 80606                 	*  	140.65653321 +50.60374494  	    45.76 16.56 	   5.63	4.06     	     ~	 9.78 	 9.00 	     ~	     ~	G5             
71 	HD86264    	HD 86264                 	*  	149.24099629 -15.89512059  	  -13.13 -65.74 	  14.54	9.20     	     ~	 7.92 	 7.41 	     ~	     ~	F7V            
72 	HD82943    	HD 82943                 	PM*	143.71140230 -12.12954813  	   3.00 -175.01 	  36.40	10.30    	     ~	 7.17 	 6.53 	     ~	     ~	F9VFe+0.5      
73 	HD37124    	HD 37124                 	PM*	084.26035893 +20.73078808  	 -80.14 -419.77 	  29.70	-23.02   	     ~	 8.35 	 7.68 	 7.2  	 6.9  	G4IV-V         
74 	HD192263   	HD 192263                	BY*	303.499358 -00.866875      	  -61.13 261.37 	  51.77	-10.67   	 9.447	 8.724	 7.767	 7.231	 6.771	K1/2V          
75 	HD204313   	HD 204313                	PM*	322.05086286 -21.72625554  	  42.86 -271.51 	  21.11	-9.70    	     ~	 8.696	 8.02 	 7.76 	     ~	G5V            
76 	HD90156    	HD 90156                 	V* 	155.98031170 -29.64552930  	   -38.02 99.61 	  44.74	27.01    	 7.758	 7.603	 6.920	 6.534	 6.189	G5V            
77 	HD60532    	HD 60532                 	PM*	113.51325350 -22.29606662  	   -39.87 46.84 	  39.53	61.09    	 5.02 	 4.94 	 4.39 	     ~	     ~	F6IV-V         
78 	HD68988    	HD 68988                 	*  	124.59239155 +61.46072070  	   129.01 31.26 	  18.34	-69.45   	     ~	 8.84 	 8.19 	     ~	     ~	G0             
79 	HD149143   	HD 149143                	*  	248.21270978 +02.08482590  	   -9.26 -87.31 	  16.12	12.27    	     ~	 8.56 	 7.89 	     ~	     ~	G3V            
80 	HD79498    	HD 79498                 	*  	138.78917146 +23.37555042  	-127.94 -154.95 	  21.69	19.83    	     ~	 8.726	 8.02 	 7.6  	 7.2  	G5             
81 	HD181433   	HD 181433                	PM*	291.28986606 -66.46879899  	 -230.60 235.37 	  37.37	40.21    	     ~	 9.42 	 8.38 	     ~	     ~	K3III-IV       
82 	HD102365   	HD 102365                	PM*	176.62946929 -40.50035340  	-1530.99 403.67 	 108.45	17.30    	 5.65 	 5.55 	 4.88 	 4.35 	 3.97 	G2V            
83 	HD6718     	HD 6718                  	PM*	016.95276129 -08.23370344  	   192.24 19.77 	  18.23	34.76    	     ~	 9.087	 8.45 	     ~	     ~	G5V            
84 	HD33636    	HD 33636                 	PM*	077.94353496 +04.40353673  	 179.69 -138.40 	  35.25	5.64     	     ~	 7.64 	 7.06 	 6.6  	 6.3  	G0VCH-0.3      
85 	HD240237   	HD 240237                	*  	348.92593172 +58.04324039  	    -0.74 -5.13 	   0.19	-24.82   	     ~	 9.86 	 8.17 	 7.53 	     ~	K2             
86 	HD11977    	* eta02 Hyi              	PM*	028.73388206 -67.64730385  	    76.22 72.94 	  14.91	-16.20   	     ~	 5.614	 4.695	     ~	     ~	G8III/IV       
87 	HD73534    	HD 73534                 	PM*	129.81584518 +12.96037292  	 -114.84 -94.19 	  12.34	9.80     	     ~	 9.21 	 8.24 	     ~	     ~	G5             
88 	HD164604   	HD 164604                	*  	270.77888950 -28.56064524  	  -32.33 -39.10 	  24.35	6.30     	     ~	10.88 	 9.83 	     ~	     ~	K3.5Vk:        
89 	HD37124    	HD 37124                 	PM*	084.26035893 +20.73078808  	 -80.14 -419.77 	  29.70	-23.02   	     ~	 8.35 	 7.68 	 7.2  	 6.9  	G4IV-V         
90 	HD217107   	HD 217107                	** 	344.56475477 -02.39538443  	   -6.35 -15.80 	  50.36	-13.40   	     ~	 6.900	 6.180	     ~	     ~	G8IV/V         
91 	HD74156    	HD 74156                 	PM*	130.60467566 +04.57809648  	  24.83 -200.90 	  15.52	3.7      	     ~	 8.194	 7.61 	 7.2  	 7.0  	G1V            
92 	HD103774   	HD 103774                	*  	179.23162235 -12.10790926  	 -125.50 -19.95 	  18.03	-3.50    	     ~	 7.61 	 7.12 	     ~	     ~	F6V            
93 	HD13931    	HD 13931                 	PM*	034.19741441 +43.77299741  	  99.03 -183.19 	  22.61	30.58    	     ~	 8.237	 7.60 	 7.2  	 6.9  	G0             
94 	HD155358   	HD 155358                	PM*	257.39423954 +33.35585694  	-222.45 -215.97 	  22.67	-9.19    	     ~	 7.79 	 7.270	 7.0  	 6.7  	G0             
95 	HD136118   	HD 136118                	*  	229.73113611 -01.59238583  	  -122.69 23.72 	  21.47	-2.91    	     ~	 7.46 	 6.94 	     ~	     ~	F7V            
96 	HD6434     	HD 6434                  	PM*	016.16729486 -39.48821728  	-169.44 -527.67 	  24.17	22.90    	     ~	 8.32 	 7.71 	     ~	     ~	G2/3V          
97 	HD5319     	HD 5319                  	*  	013.75583336 +00.78955609  	   -4.93 -49.66 	   8.74	0.34     	     ~	 9.03 	 8.05 	     ~	     ~	K0III          
98 	HD231701   	HD 231701                	*  	293.01733807 +16.47429227  	    63.85 16.46 	   8.44	-63.48   	     ~	 9.486	 8.97 	     ~	     ~	F8V            
99 	HD75898    	HD 75898                 	*  	133.46168847 +33.05681089  	  -95.44 -28.44 	  13.20	21.68    	     ~	 8.67 	 8.03 	10.6  	     ~	G0             
100	HD213240   	HD 213240                	PM*	337.75152659 -49.43327126  	-136.01 -194.44 	  24.61	-0.50    	     ~	 7.41 	 6.80 	     ~	     ~	G0/1V          
101	HD12661    	HD 12661                 	PM*	031.14286807 +25.41430641  	-107.12 -174.69 	  28.61	-47.23   	     ~	 8.16 	 7.44 	 7.0  	 6.6  	K0V            
